㐷	傌
𬜬	蔄
𬜯	䓣
𬞟	蘋
𬟁	虉
𬟽	蝀
𬣙	訏
𬣞	詝
𬣡	諓
𬣳	詪
𬤇	諲
𬤊	諟
𬤝	譓
𬨂	軝
𬨎	輶
𬩽	鄩
𬪩	醲
𬬩	釴
𬬭	錀
𬬮	鋹
𬬱	釿
𬬸	鉥
𬬹	鉮
𬬻	鑪
𬬿	鉊
𬭁	鉧
𬭊	𨧀
𬭎	鋐
𬭚	錞
𬭛	𨨏
𬭤	鍭
𬭩	鎓
𬭬	鏏
𬭭	鏚
𬭯	䥕
𬭳	𨭎
𬭶	𨭆
𬭸	鏻
𬭼	鐩
𬮱	闉
𬮿	隑
𬯀	隮
𬯎	隤
𬱖	頔
𬱟	頠
𬳵	駓
𬳶	駉
𬳽	駪
𬳿	駼
𬴂	騑
𬴃	騞
𬴊	驎
𬶋	鮈
𬶍	鮀
𬶏	鮠
𬶐	鮡
𬶟	鯻
𬶠	鰊
𬶨	鱀
𬶭	鰶
𬶮	鱚
𬷕	鵏
𬸘	鶠
𬸚	鸑
𬸣	鶱
𬸦	鷟
𬸪	鷭
𬸯	鷿
𬹼	齘
𬺈	齮
𬺓	齼
𰬸	繐
𰰨	菕
𰶎	譅
𰾄	鋂
𰾭	鑀
𱊜	𪈼
𱣡	橌 㯗
𰂎	僩
𱆁	鬜
𰥨	瞯
𰴘	覵
𰬝	繝
匑	匔
芎	𦵡
真	眞
𱂆	韐
鞋	鞵
青	靑 𤯞
蛋	蜑
亦	亦 𡗕
弈	弈 𢌾
羊	𦍋
丘	丠
㐄	𡕒
五	五 𠄡
㐆	𠂣
克	克 𠅏 剋
兕	𤉡
仡	㐹
再	再
冗	宂
冫	仌
勇	勈
勺	勺
匆	悤
卉	芔
即	卽 𭅺
卿	卿 卿
皀	㿝
灰	灰 𤆆
启	啓 𢻻
善	譱
寿	壽 𦓆
侵	㑴
僕	㒒
僊	㒨
旡	㒫
貌	皃
狸	貍
㺄	貐
猴	㺅
㺖	𤡘
吃	喫 吃 𠯏
昔	㫺
七	七 十
在	在 𢩿
亡	兦
之	之 𡳿
用	用 𤰃
者	者 者
以	㕥
春	萅
雍	雝 𩀢
川	巛
宣	宣 𡨈
繁	䋣 繁
巴	巴 𢀳
俞	兪
退	退 𢓴
丸	丸 𠁽
芒	芒 𦬆 鋩 𨦵
港	港 𣿑
燕	㷼
姆	姆 娒
和	咊
雪	䨮
雷	靁
蕾	藟
需	需 𩂉
靴	鞾 𩎁
史	㕜
吏	叓
汴	汴 汳
蝶	蜨
教	敎
黑	黑 𪐗
髓	髓 𩪦
答	荅
熛	熛 𤐫
每 	每 𡴋
前	歬
罪	辠
鮺	鮺 𩻢
舅	舅 𦦊
拖	拕
剪	剪 𣦃
翦	翦 𦑳
襄	襄 𧞻
死	死 𣦸
旅	旅 𣃨
喧	吅
角	𧢲
尤	𡯁
楂	樝
的	的 旳
乃	𠄎
沉	沈
臀	臀 𡱂
去	㚎
蜘	䵹
蛛	鼄
敖	敖 𢾍
成	成
稊	蕛
智	智 𣉻
知	知 𥎿
乘	乘 𣔕
然	𤉷
函	圅
尢	𡯁
舁	舁 𦥠
慈	慈
草	艸 草
首	𩠐
皇	皇 𦤃
力	力 𠠲
肉	肉 𠕎
𢇇	𢇅
巷	䢽
暴	㬥 曓 𫻺
曝	曝 𣌑
粦	㷠
孽	孼
舂	舂 𦥽
葟	葟 𦨃
舜	舜 𰉿
列	列 𠜊
思	恖
既	旣
廾	廾 𠬞
概	槩
散	㪔
莽	莽 𦷶
蛙	鼃
摘	摘 𢴨
嫡	嫡 𡡿
樀	樀 𣚌
滴	滴 𣾪
䎮	䎮 𦔝
谪	謫 𧬍
蹢	蹢 𨅙
镝	鏑 𨬙
䵂	䵂 𪍼
𱋪	䵂 𪍼
蛤	蛤 𧊧
蛷	蛷 𧒔
流	流 𣹳
失	失 𢩥
食	食 𠊊
兼	𥡝
秋	秌 𬟏 鞦
赤	灻 𤆍
拜	拜 𢳎
频	頻
濒	瀕 𩕘
步	步 𣥗
垂	垂 𡍮
走	走 𣥚
䙴	䙴 𠨧
忘	㤀
西	卥
婀	娿
辣	辢
咒	呪
裙	帬
翅	翄
飄	飄 𩙞
槁	槀
毗	毗 𣬈
晰	晳
迹	迹 𨒪
遍	徧
融	融 𬴥
郭	郭 𬴘
墉	墉 𬴘
蟹	蠏
期	㫷
棋	棊
鵝	䳘
儹	儧
𰉄	囋 𡂐
囋	囋 𡂐
巑	㠝
𰏁	㠝
擦	攃
禶	禶 𮂠
穳	穳 𥣪
𬡷	襸
𱄊	饡 𩟪
𫲗	㜺 𡣶
㦫	㦫 𭟎
𥎝	䂎 𥎞
䡽	䡽 𮝰
𤓎	㸇
𱆈	䰖 𩯳
𲎫	𪚇
𬖃	籫 𮆫
𧄽	𮒟
替	替 𤾕
鞍	鞌
伴	伴 㚘
侯	矦 𥎦
臧	臧 𦣣
雩	𩁹
十	十 丨
搜	叜
洗	洒 𣶓
法	灋
姬	姬
污	汙
仙	㒨
攀	攀 𠬜
𱊚	鷆
鷏	鷆
笑	笑 𦬫
浸	濅
忤	啎
蹄	蹏
啼	嗁
褒	襃 𧛙
阜	𨸏
弦	弦 𢏛 絃
叁	叄
肯	肎
已	巳
虐	䖋
厄	戹 厄
轭	軶
阨	阸
生	生 𤯓
乍	乍 𠆦
罔	㒺
癹	癹 𤼧
形	形 𢒈
刑	㓝
邢	邢 𨙷
射	矤
享	亯
立	立 𡗓
喻	喩
媮	婾
偷	偸
榆	楡
睘	瞏
嬛	嬛 𡣱
袁	袁 𮕧
儇	儇 𠐛
擐	擐 𢸃
檈	檈 𣞲
䁵	䁵 𥌡
蠉	蠉 𧔘
𮝹	轘 𨏙
獧	獧 𰡨
至	至 𦤴
殍	殍 𣧶
纵	縱 𥾺
叱	𠮟 叱
霝	霝 𩂩
曹	㯥
遭	遭 𨙠
网	冈
酬	醻 𨣊
葵	葵 𦮙
衡	衡 𡙉
早	早 𱢦
萏	𧂄
哂	弞
要	要 𫱴
穆	穆 𥡻
暈	暈 𣅯
照	照 𤋜
覃	覃 𪉷
展	㞡
四	亖
型	型 𡌒
意	意 𠶷
睿	叡
孑	孑 𡤼
孓	孒
蜂	蠭
闌	闌 𨷻
畿	畿 𤳀
戟	戟 𢧢
商	商 𬔩
杜	杜 𢾖
罟	罟 𦊟
徹	徹 𬴲
撤	勶
虉	虉 𧅖
乂	乂 𬔖
尾	㞑
眉	睂
句	句 𠯶
丩	丩 𠃚
丐	匃
宿	㝛
昷	𥁕
若	若 𠭞
敕	㪝
急	㤂
局	局 𡱈 侷
普	暜
甑	甑 𬎿
曾	曽 𬎿
猱	夒
夙	夙 𡖊
淆	殽
河	汅
得	得 𠭁
稚	稺
地	墬 𡓬
祈	祈 𣄨 𰕣
革	革 𠦶
望	朢 𦣠
簪	兂
查	査
粗	麤
霩	霩 𩇑
撇	撆
香	香 𪏽
挺	挺 𡈼
延	延 𢓊
登	登 𤼷
次	次 𫡜
矧	矧 𫨸
淫	淫 婬
我	我 𢦐
甲	甲 𫭂
燐	燐 𤐪
焰	燄
着	著
他	它
她	它
俎	俎 𤕲
蚋	蜹
集	雧
漏	屚 漏
武	武 𭟰
役	伇
琊	邪
邪	邪 衺
朋	倗 玨
愧	媿
素	素 𦃃
塞	塞 𡫳
震	震 𩇒
忝	㤁
速	速 𬨮
睡	睡 𥋍
峭	陗 𱀓 峭
你	儞
允	允 𠃔
李	李 𰌩
梅	楳
硅	矽 硅
胃	胃 𡇒
高	髙
私	厶 私
獐	麞
麇	麇 𦊁
戡	戡 𢦟
爵	爵 𡬠
茯	茯 𬜠
糖	糖 醣
䄆	䄆 𥙱
活	活 𣴠
梗	梗 𣖀
更	㪅
丙	丙 𦉪
爪	爪 㕚
星	曐
天	㕦
翼	翼 𩙺
涉	涉 𣥿
妍	姸
今	今 𠓞
圄	圉 𰉑
肇	肇 𫼉
有	㞢
庶	庶 𤇈
鞹	鞹 𫾹
虢	虢 𫾹
城	城 𬴡
守	㝊
烄 	烄 𰞙
燎	燎 𤆰
羔	羙 𦍚
告	吿
簋	簋 𣪕
悖	誖 𢨋
𤉨	𤒓
上	上 𠄞
下	下 𠄟
二	二 𠄠
葬	葬 𰉎
道	衜
旬	旬 𦉶
考	考 攷
筐	匚
芈	羋
梓	榟
霣	䨶 𩇂
助	助 𱐵
厚	厚 𠪋
蒸	烝 𬖧 蒸
公	㕣
羞	羞 𱻊
曰	曰 𠮛
子	子 𢀇
原	厡 邍 𰋎
衰	衰 𠌺
攸	攸 𠆸
厥	氒
漩	㳬
霸	䩗
蚊	蟁
豪	豪 𩫚
其	其 𠀠
昃	昃 𭥏
囿	囿 𡈹
明	朙
肱	厷
付	仅
祗	祗 𤲥
屈	屈 𡲶
穗	穗 𥝩
稿	稾
秸	稭
袖	褎
召	召 𬜁
郜	郜 𬪒
非	非 𫤬
鼎	鼎 𥅀
骨	冎
翻	翻 繙
亮	亮 𠅙
鬼	鬼 𠒆
噪	喿 譟
擒	擒 𰅱
螂	蜋
示	示 𬼽
德	悳
野	埜
彦	彥 𣁎
祭	祭 𪱙
垔	垔 𡍏
霍	靃
每	每 𡴋
蠹	蠹 𮕛
釜	釜 𨥏
桌	棹
棹	櫂
炮	礮 炮
社	社 𥙭
